user_id,date,sleep_hours,chronotype,focus_start_hour,deep_work_minutes,meetings_minutes,late_meetings_minutes,breaks_count,avg_break_minutes,context_switches,notifications,steps,stress_level,mood,caffeine_mg,hydration_glasses,productivity_score
U000,2024-01-01,7.49215802377642,evening,13,54,238,23,2,5.424038053702162,31,182,8866,3,3.938764240381999,11,4,1.1068302061592257
U000,2024-01-02,7.348128118072622,evening,13,54,84,34,5,4.538434210035904,43,210,5979,4,2.816897216513273,117,6,3.387240947449811
U000,2024-01-03,7.045881582553048,evening,15,185,149,40,3,4.34081778685624,67,93,13441,2,3.7622686231392604,126,7,6.345345176237591
U000,2024-01-04,8.858883235238427,evening,13,127,60,25,3,16.599929049872344,49,39,11481,1,4.678585008593769,0,6,7.448388847410075
U000,2024-01-05,7.19304333515281,evening,11,175,0,0,6,5.540216354462576,38,252,6901,3,3.684445808976104,157,8,10.13835826696829
U000,2024-01-06,7.491132253190298,evening,14,95,49,0,5,15.498931926914977,36,20,5775,3,3.807914705781435,147,7,9.95861131260819
U000,2024-01-07,5.993301895431079,evening,13,86,108,44,7,11.799990956191095,27,148,8692,2,3.5526381405904384,188,7,1.3446088873148152
U000,2024-01-08,7.532812697801281,evening,15,133,0,24,4,7.314287225606982,35,47,10689,3,3.219532602268248,158,6,7.622177246425221
U000,2024-01-09,4.799535130143696,evening,8,210,27,14,5,7.552901352944466,52,94,8776,1,4.100352738738709,195,6,5.313708086987432
U000,2024-01-10,7.441461948061422,evening,14,163,38,41,2,9.658456812754293,31,223,6270,3,3.2648033518944044,63,8,9.05783928533815
U000,2024-01-11,7.662552455708987,evening,14,72,149,0,4,8.284888796608165,39,242,7259,2,4.250777862805386,234,7,5.946377295936369
U000,2024-01-12,5.613217440742973,evening,13,114,0,22,4,3.0,22,187,8885,3,2.826235648911446,53,4,5.473115323633392
U000,2024-01-13,6.682446793012218,evening,12,151,136,22,1,7.03593823766965,43,258,10174,1,3.274997792696588,43,0,0.0
U000,2024-01-14,5.606155376965508,evening,15,141,56,21,4,16.00666969766789,46,317,8568,4,4.613433511554745,214,6,8.012108399662376
U000,2024-01-15,6.851314975049094,evening,15,107,54,57,3,9.681413928030386,19,117,6270,2,4.459690424133396,82,3,8.128911053512782
U000,2024-01-16,7.843613458342543,evening,9,94,155,4,3,8.07315152939063,5,100,9379,4,3.5552060277268493,132,7,6.477333423389335
U000,2024-01-17,7.674612608881939,evening,11,121,126,32,0,12.365262211739221,37,195,2301,3,2.507840797404227,0,6,4.064387631290236
U000,2024-01-18,7.27294169165258,evening,13,121,162,36,7,19.240469794618456,47,255,12632,2,3.4028325098897025,164,2,6.614653697370668
U000,2024-01-19,8.661942072529431,evening,11,85,151,47,0,11.30404656995832,32,20,6072,2,3.684036323021744,143,5,3.2655069989916803
U000,2024-01-20,7.065167676070595,evening,13,163,152,2,2,6.320492451214341,56,223,5052,1,2.895029330988707,142,3,2.496951066389755
U000,2024-01-21,8.412709960292853,evening,12,158,3,27,4,5.306417750638438,55,179,5270,2,4.266523010747805,30,6,2.327069113237801
U000,2024-01-22,7.403846171390005,evening,12,116,140,20,5,11.794737727832864,41,200,7318,3,4.443109807695322,287,9,2.561929038684619
U000,2024-01-23,7.464382734097762,evening,13,174,158,0,4,3.0,27,96,5485,4,3.2197939187048017,99,6,8.837696207244694
U000,2024-01-24,5.667537972109917,evening,15,85,35,22,5,19.821275953899693,48,126,6612,2,4.055439290653226,205,5,6.318943954880146
U000,2024-01-25,5.673204679045074,evening,12,77,59,0,5,5.141143491522219,32,285,11672,4,2.0279917375592493,114,5,1.4930677841061293
U000,2024-01-26,6.481224978333072,evening,12,145,66,0,0,9.524059697047985,8,242,5775,2,3.7532610943207136,110,7,0.8802408338432953
U000,2024-01-27,5.5554748994540715,evening,15,127,0,53,1,17.225220917866814,62,259,7204,2,4.270158631698149,107,8,3.5950742339985067
U000,2024-01-28,5.776477276627664,evening,11,122,65,22,2,15.504169014143653,27,227,2510,3,4.69380859026529,189,5,1.8114543525141122
